BOOK-ID,WORDCOUNT,GENDERAUTHOR,AGEAUTHOR,NRNODES,NREDGES,DENSITY,TRIADICCLOSURE,CLUSTERINGCOEFFICIENT,ISCONNECTED,ASS_GENDER,ASS_DESCENTCOUNTRY,ASS_DESCENTCITY,ASS_LIVINGCOUNTRY,ASS_LIVINGCITY,ASS_AGE,ASS_EDUCATION,ASS_DESCENTRECODE
1,685442,2,2,12,38,0.5757575757575758,0.7261904761904762,0.24100190487650738,False,-0.0594277329420397,-0.12214765100671167,-0.12214765100671167,-0.08571428571428563,-0.08571428571428563,-0.09615384615384599,-0.13327120223671948,-0.16923076923076877
2,376626,1,2,21,54,0.2571428571428571,0.49719101123595505,0.12654658755271783,False,0.03571428571428587,0.06786975284425242,nan,nan,-0.009345794392520028,0.04198698994677708,-0.17974180734855996,0.06786975284425266
3,360702,1,5,9,15,0.4166666666666667,0.5,0.19719574852643657,True,-0.19999999999999996,-0.018518518518518563,-0.13564668769716082,-0.11111111111111124,-0.11111111111111262,-0.24203821656050947,-0.07142857142857194,-0.11111111111111124
4,471697,1,3,13,39,0.5,0.66,0.279286745145541,False,-0.10776942355889692,-0.08333333333333379,-0.01687116564417178,-0.14166231050705694,-0.08489208633093527,-0.10277324632952689,-0.05405405405405517,-0.08333333333333379
5,428745,1,4,12,29,0.4393939393939394,0.695364238410596,0.27627514764047484,False,-0.017543859649122903,-0.0909090909090911,-0.00967117988394581,0.06951871657754022,-0.03571428571428575,-0.08986928104575162,0.055203619909502205,-0.16410861865407303
6,192918,1,3,10,26,0.5777777777777777,0.6940298507462687,0.028234879781289274,True,-0.23809523809523808,-0.14917127071823236,nan,nan,nan,-0.08690869086908681,-0.08333333333333379,-0.08333333333333379
7,224363,1,5,6,12,0.8,0.7894736842105263,0.4278998669752987,True,-0.37142857142857133,-0.14970059880239525,-0.37142857142857133,-0.14285714285714285,-0.24444444444444452,-0.14285714285714285,-0.17482517482517476,-0.14970059880239525
8,216818,1,3,5,2,0.2,0,0.0,False,-0.3333333333333333,-0.3333333333333333,-1.0,1.0,1.0,-0.6,-0.3333333333333333,-0.3333333333333333
9,458317,1,6,9,25,0.6944444444444444,0.7734375,0.05888012565585243,True,-0.21527777777777782,-0.15864527629233538,-0.07197549770290969,-0.02880658436213989,-0.02880658436213989,-0.14583333333333334,-0.11111111111111124,-0.15864527629233538
10,320409,1,3,8,10,0.35714285714285715,0.6521739130434783,0.12301123992484865,False,-0.24999999999999983,-0.3043478260869566,-0.25,0.5238095238095238,0.5238095238095238,0.19999999999999987,-0.3675213675213676,-0.2612612612612614
11,844705,2,6,17,72,0.5294117647058824,0.6818181818181818,0.2828729523890418,True,-0.06293706293706293,0.08662041625371658,-0.11327731092436971,0.18444818613194558,-0.0037757769387162313,-0.04224015187470331,0.004914004914004936,0.13000671291116575
12,269309,2,6,7,15,0.7142857142857143,0.7636363636363637,0.5683815732180454,True,-0.11111111111111088,nan,nan,nan,nan,-0.11111111111111131,-0.1999999999999996,nan
13,270852,1,3,11,30,0.5454545454545454,0.7630057803468208,0.34563237777988076,False,-0.11111111111111124,-0.18451025056947606,nan,nan,-0.06703146374829011,-0.11275964391691393,-0.13207547169811343,-0.21504339440694323
14,394433,2/1,4,19,78,0.45614035087719296,0.6063348416289592,0.2430000110447027,True,-0.0505050505050503,0.09433962264150933,-0.07826086956521741,nan,nan,-0.04280323450134774,-0.013809910641754835,0.06810035842293913
15,485189,1,4,21,64,0.3047619047619048,0.5010060362173038,0.03231026778942211,False,-0.1270440251572327,-0.04065040650406504,-0.08233199821984868,-0.0847457627118644,-0.1431864016133679,-0.08546724309943465,-0.17024956758092413,-0.04065040650406504
16,351516,1,2,10,32,0.7111111111111111,0.8307692307692308,0.23406422944475191,True,-0.16363636363636364,-0.13744075829383887,-0.10726643598615918,nan,-0.16363636363636364,-0.12129380053908356,-0.1686358754027927,-0.15942028985507245
17,195465,1,2,9,16,0.4444444444444444,0.48,0.4406312941931065,True,0.3522267206477733,-0.026737967914438502,-0.391304347826087,-0.10344827586206896,-0.10344827586206896,-0.04234527687296417,-0.12941176470588237,-0.026737967914438502
18,256738,1,5,11,38,0.6909090909090909,0.7741935483870968,0.34916225823727914,True,-0.055555555555555,-0.09803921568627505,-0.11708058793715147,-0.09803921568627505,-0.13485767615492295,-0.09803921568627505,-0.05263157894736845,-0.09803921568627505
19,198424,1,2,6,9,0.6,0.875,0.37321714876294704,False,-0.1688311688311689,-0.1688311688311689,nan,-0.1688311688311689,-0.3500000000000001,-0.21348314606741578,-0.2857142857142857,-0.1688311688311689
20,270412,2,3,14,42,0.46153846153846156,0.867109634551495,0.2999479921621516,False,-0.08705882352941179,nan,nan,nan,nan,-0.11459589867310009,-0.05000000000000005,nan
21,209760,1,2,10,9,0.2,0.24,0.2579838340260931,False,-0.125,-0.17391304347826086,-0.5555555555555556,-0.0843373493975903,-0.18681318681318673,-0.5555555555555556,0.06493506493506498,-0.3500000000000001
22,375441,1,5,15,66,0.6285714285714286,0.7253886010362695,0.24095738121595434,True,-0.08791208791208839,-0.057321652065081656,-0.08418891170431253,nan,-0.10478741211918333,-0.07941500235886143,-0.07581501137225177,-0.0573216520650814
23,520556,1,5,12,39,0.5909090909090909,0.8,0.1788749556606244,True,-0.05978260869565205,-0.10080645161290368,nan,-0.06849315068493156,-0.05405405405405637,-0.0778443113772456,-0.05790297339593117,-0.10080645161290368
24,573275,1,3,22,103,0.4458874458874459,0.7144089732528042,0.24462394387883982,False,-0.014778325123152785,-0.17123092959348069,-0.1530678148546825,0.0557066273016859,0.0557066273016859,-0.03893792182748659,7.13826825611143e-05,-0.17680662667809183
25,158232,1,6,6,11,0.7333333333333333,0.8823529411764706,0.3071451925949041,True,-0.31623931623931656,-0.15789473684210525,-0.2222222222222222,nan,nan,-0.047619047619047436,-0.17857142857142846,-0.1
26,409099,2,3,9,18,0.5,0.6086956521739131,0.4070815041886453,True,-0.11111111111111116,-0.05882352941176384,-0.261455525606469,0.30322580645161323,-0.12499999999999996,-0.1764705882352942,-0.23832923832923833,-0.058823529411764955
27,225841,1,2,10,30,0.6666666666666666,0.7682926829268293,0.27634339883354536,True,-0.20535714285714313,0.04095904095904078,-0.08019639934533562,-0.15555555555555559,-0.15555555555555559,-0.1198428290766208,-0.1538461538461533,0.040959040959041064
28,213474,2,3,6,5,0.3333333333333333,0.75,0.2335781313119714,False,-0.19999999999999996,nan,-0.6666666666666667,nan,-0.6666666666666667,-0.5151515151515152,nan,nan
29,364449,2,3,13,35,0.44871794871794873,0.612565445026178,0.03988279329649151,True,-0.10008271298593875,nan,-0.1805555555555559,-0.19347664936990353,-0.06060606060606026,-0.0720363017583664,-0.13141250878425853,nan
30,269300,1,2,7,18,0.8571428571428571,0.8846153846153846,0.06330263277520275,True,-0.028571428571428466,-0.20000000000000065,nan,nan,-0.1781818181818182,-0.1946902654867256,-0.1688311688311689,-0.20000000000000065
31,213325,1,4,6,11,0.7333333333333333,0.7272727272727273,0.3839549780873704,True,-0.375,nan,-0.15789473684210523,nan,-0.3749999999999996,-0.13548387096774192,-0.2727272727272727,nan
32,131192,1,5,8,9,0.32142857142857145,0.3333333333333333,0.3333333333333333,False,0.1,-0.125,nan,nan,-0.2857142857142857,-0.3548387096774194,-0.125,-0.125
33,276876,1,5,8,14,0.5,0.66,0.3638173565323304,False,-0.0481283422459893,-0.11999999999999998,nan,nan,-0.29032258064516137,-0.18727915194346298,-0.2923076923076926,-0.12000000000000069
34,194413,1,5,8,12,0.42857142857142855,0.7894736842105263,0.29455388526212134,False,-0.37142857142857183,-0.24444444444444452,-0.2631578947368422,-0.19254658385093182,-0.3416149068322981,-0.2815533980582524,-0.17482517482517476,-0.24444444444444452
35,325210,1,3,8,5,0.17857142857142858,0,0.0,False,-0.24999999999999983,-0.11111111111111124,-0.2500000000000003,-0.11111111111111262,nan,nan,-0.3043478260869566,-0.11111111111111262
36,260232,1,5,11,29,0.5272727272727272,0.6265822784810127,0.2795675827137941,True,-0.06842105263157883,nan,nan,-0.03571428571428524,-0.16310160427807513,-0.10226244343891415,-0.21639656816015265,nan
37,290327,1,5,14,43,0.4725274725274725,0.690566037735849,0.20080621760576914,True,-0.17272727272727245,-0.184262295081967,-0.102564102564102,-0.0886075949367087,-0.0886075949367087,-0.0497652582159621,-0.09938144329896906,-0.184262295081967
38,546615,1,5,13,36,0.46153846153846156,0.6558139534883721,0.38198981801857546,True,-0.08606921029281257,-0.018867924528301973,0.12605042016806706,nan,-0.014084507042253582,-0.19360568383658974,-0.14128187456926256,0.07096774193548416
39,268394,1,5,11,23,0.41818181818181815,0.6272727272727273,0.2891278283375917,False,-0.13043478260869582,nan,-0.09523809523809547,nan,-0.21969696969697006,-0.20418848167539266,-0.07333333333333344,nan
40,293055,1,5,13,24,0.3076923076923077,0.4838709677419355,0.19249432830862284,False,-0.2521739130434783,nan,-0.3067150635208713,nan,-0.04347826086956655,-0.14495412844036687,-0.04065040650406516,nan
41,73158,2,6,4,6,1.0,1.0,0.2360248647506535,True,-0.3333333333333333,-0.33333333333333354,nan,nan,nan,-0.33333333333333354,-0.33333333333333354,-0.33333333333333354
42,818744,2,3,15,65,0.6190476190476191,0.7525597269624573,0.33846802850730134,True,-0.09936575052854149,-0.09506618531889324,nan,-0.03174603174602876,-0.12156862745098038,-0.0338950956258285,-0.02188230295304874,-0.09427609427609482
43,534008,1,4,13,42,0.5384615384615384,0.6907216494845361,0.1730197645164407,True,-0.19593220338983058,-0.09090909090909137,-0.23167155425219926,nan,-0.06870229007633591,-0.10477860587461646,-0.28395061728395077,-0.09090909090909058
44,247334,1,5,6,2,0.13333333333333333,0,0.0,False,-1.0,-0.3333333333333333,-1.0,nan,nan,-0.6,-0.3333333333333333,-0.3333333333333333
45,245289,1,2,13,23,0.2948717948717949,0.391304347826087,0.16242473158639406,True,-0.23846153846153875,-0.2154471544715446,-0.08925318761384346,-0.022222222222222438,0.12152777777777772,-0.04921968787515011,0.03496503496503502,-0.2860215053763441
46,331506,1,4,16,45,0.375,0.6041666666666666,0.11084062424428179,False,-0.13122171945701375,0.07113896056026539,-0.11504424778761066,0.3155893536121667,0.6551724137931045,-0.016949152542372826,-0.08293940696175342,0.04941531497548097
47,228031,1,2,3,3,1.0,1.0,0.8735804647362989,True,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001
48,183497,2,3,9,19,0.5277777777777778,0.8076923076923077,0.33727502997037817,True,-0.26666666666666666,nan,-0.22580645161290283,nan,nan,-0.064798598949212,-0.2517647058823529,nan
49,178671,1,2,15,30,0.2857142857142857,0.4195804195804196,0.27592872882026664,False,-0.1180124223602486,0.06735751295336757,-0.2454212454212458,0.15094339622641512,0.12964641885766098,-0.010425020048115425,-0.027953110910730345,0.13612565445026184
50,401713,2,5,12,34,0.5151515151515151,0.6831683168316832,0.2928760710973814,True,-0.17122593718338425,-0.07936507936507961,-0.05919003115264744,-0.046153846153846025,-0.08092485549132923,0.01188903566710693,-0.023325808878856304,-0.09950248756218934
51,510895,1,6,5,10,1.0,1.0,0.5428907561047058,True,-0.25000000000000044,-0.24999999999999983,nan,-0.24999999999999983,nan,-0.2499999999999996,-0.25000000000000044,-0.2500000000000003
52,864068,1,6,22,47,0.20346320346320346,0.47840531561461797,0.19540382016467642,False,0.05241935483870963,-0.09302325581395315,0.05280128980249897,nan,-0.08045977011494232,0.021561338289962782,0.010154193305753956,-0.09302325581395315
53,273806,1,4,21,44,0.20952380952380953,0.4842105263157895,0.14727014490830895,False,-0.09181141439205973,-0.12727272727272737,nan,0.036777583187390474,-0.023255813953488445,-0.1,0.34902488231338263,-0.15032679738562066
54,239639,1,5,8,16,0.5714285714285714,0.7,0.4837519152606053,True,-0.015873015873015872,0.08571428571428572,nan,nan,0.1794871794871795,-0.17277486910994763,-0.3590733590733591,0.08571428571428572
55,194838,1,4,6,1,0.06666666666666667,0,0.0,False,nan,nan,nan,nan,nan,nan,nan,nan
56,401272,1,6,15,31,0.29523809523809524,0.42038216560509556,0.2110075143877984,False,0.013636363636363507,-0.09492273730684345,-0.18433619866284603,-0.03333333333333487,-0.08771929824561375,-0.14644970414201186,0.023030303030302877,-0.05084745762711781
57,339016,2,3,15,53,0.5047619047619047,0.6548223350253807,0.2718846138464334,True,-0.12424242424242427,-0.05863402061855666,-0.1397849462365595,0.07133917396745953,-0.08005822416302767,-0.0885373300027753,-0.03954444795950649,-0.05863402061855666
58,370447,1,2,9,14,0.3888888888888889,0.5217391304347826,0.19131600743698546,True,-0.0481283422459893,-0.10526315789473696,-0.18644067796610175,-0.05660377358490536,-0.09497206703910593,-0.2995780590717299,-0.19148936170212724,-0.10526315789473696
59,326480,2,5,15,39,0.37142857142857144,0.7768924302788844,0.26384902737632715,False,-0.17948717948717952,nan,-0.1555555555555554,-0.08333333333333379,0.0033333333333332572,0.15271565495207667,-0.11277173913043495,nan
60,253476,2,3,13,26,0.3333333333333333,0.6716417910447762,0.26955376256282565,False,-0.10303030303030311,nan,-0.06122448979591895,nan,nan,-0.1158798283261804,0.045871559633027414,nan
61,502089,2,5,22,111,0.4805194805194805,0.7222222222222222,0.2607180856522437,False,0.02478242851222534,-0.07766990291262174,-0.11941626623954438,-0.01457273432784353,-0.03775620280474666,-0.056250479625508366,-0.10704787234042559,-0.07766990291262084
62,286936,2,4,13,36,0.46153846153846156,0.5825242718446602,0.20309322556663334,True,-0.06293706293706293,-0.16129032258064543,-0.24137931034482762,-0.09090909090909137,0.052631578947368376,-0.06779661016949153,-0.13909030982201717,-0.16129032258064543
63,368521,1,2,22,70,0.30303030303030304,0.63,0.2095664801234135,False,0.07115076641500774,-0.029411764705882706,-0.020036429872495685,-0.029411764705882706,-0.03771528231959896,0.0376432078559734,-0.12903225806451604,-0.029411764705882706
64,428261,1,5,8,9,0.32142857142857145,0.875,0.2523769921510215,False,-0.1688311688311689,-0.21348314606741578,-0.21348314606741578,-0.1688311688311689,-0.20000000000000004,-0.33333333333333337,-0.1688311688311689,-0.20000000000000065
65,208472,1,2,6,6,0.4,1.0,0.17034110932427218,False,-0.3333333333333333,nan,nan,nan,nan,-0.3333333333333333,-0.33333333333333337,nan
66,526207,1,3,15,41,0.3904761904761905,0.6506024096385542,0.2346576738846269,False,0.023809523809523874,nan,-0.054354178842782014,nan,-0.014851485148514705,-0.08058793715154584,-0.03734939759036169,nan
67,372966,1,5,8,17,0.6071428571428571,0.8260869565217391,0.5573971366449746,False,-0.3076923076923078,nan,nan,nan,nan,-0.21428571428571436,-0.24507042253521147,nan
68,298376,1,5,12,33,0.5,0.7,0.24888863694480448,True,-0.0153846153846157,-0.12545676004872092,-0.15576036866359466,-0.12156862745098053,-0.06944444444444459,-0.09369024856596557,-0.06843267108167779,-0.12545676004872092
69,508196,2,99,26,109,0.3353846153846154,0.5920353982300885,0.2351637228866083,False,-0.08293340069040994,nan,0.08893822645944861,nan,-0.0012086052695194595,-0.034066407934454555,-0.023474178403755923,nan
70,1162195,1,6,20,81,0.4263157894736842,0.5378151260504201,0.20023103641094733,True,-0.043519245875883635,0.0486577181208055,-0.0226869204971392,-0.03846153846153882,-0.07074663402692777,0.21657299699385696,0.021901266721913035,0.0486577181208055
71,361856,2,6,18,21,0.13725490196078433,0.3333333333333333,0.10560379843890073,False,-0.057208237986270005,nan,-0.12249443207126944,-0.07692307692307702,0.015075376884422207,0.06984667802385013,-0.1666666666666665,nan
72,302128,2,3,9,9,0.25,0.2,0.10499342082457276,False,-0.1688311688311689,0.3333333333333334,-0.125,nan,nan,-0.27433628318584075,0.30769230769230776,0.3333333333333334
73,242943,1,4,16,58,0.48333333333333334,0.6477987421383647,0.18919459124188565,False,-0.0002973535533750841,-0.14348302300109517,0.07552182163187873,-0.019780219780219634,-0.019780219780220477,-0.14348302300109517,-0.05582524271844671,-0.14348302300109517
74,199122,1,6,9,25,0.6944444444444444,0.7380952380952381,0.3402485199233517,True,-0.15864527629233538,-0.08571428571428567,-0.1982570806100221,nan,-0.08695652173913072,-0.12359550561797752,-0.1149228130360208,-0.07095046854083017
75,108724,2,2,9,14,0.3888888888888889,0.5526315789473685,0.2627827840870008,False,-0.0481283422459893,nan,nan,nan,nan,-0.14465408805031452,0.5692307692307692,nan
76,192627,2,5,7,4,0.19047619047619047,0,0.0,False,-0.6,-0.14285714285714285,-0.14285714285714285,nan,nan,-0.14285714285714285,-0.4117647058823529,-0.14285714285714285
77,187537,2,6,9,19,0.5277777777777778,0.6835443037974683,0.0726423480127946,False,-0.13095238095238115,-0.11764705882352948,-0.0857142857142848,-0.11764705882352948,-0.26245847176079756,-0.23243243243243242,-0.23148148148148137,-0.11764705882352948
78,336616,2/1,5/6,15,68,0.6476190476190476,0.7935483870967742,0.3359932694637534,False,-0.1442307692307693,-0.030102932608273427,-0.0824133504492938,-0.01311740890688249,0.025004371393600268,0.01790281329923275,-0.07936507936507868,-0.03005917159763319
79,334880,1,4,11,23,0.41818181818181815,0.6285714285714286,0.2875981023437721,False,-0.2196969696969698,nan,nan,nan,nan,nan,-0.15221579961464352,nan
80,174579,1,5,17,42,0.3088235294117647,0.5205479452054794,0.20670441368716655,False,-0.10623353819139589,-0.03349282296650734,0.04761904761904745,0.09189189189189215,-0.010126582278480942,0.010833725859632624,-0.020242914979757238,-0.049999999999999635
81,158630,1,6,6,11,0.7333333333333333,0.7272727272727273,0.27242966669093943,True,-0.29411764705882343,nan,-0.5714285714285714,-0.3858267716535433,-0.28467153284671537,-0.17857142857142846,-0.375,nan
82,819160,1,6,14,35,0.38461538461538464,0.643979057591623,0.15533759674801775,False,-0.07142857142857123,0.36170212765957455,-0.04947526236881622,0.35384615384615437,-0.04255319148936163,-0.050181065700982894,0.03514817367332869,0.3538461538461536
83,365236,2/1,4/4,19,49,0.28654970760233917,0.40607734806629836,0.04029496278398231,True,0.22319566124322068,nan,0.11711711711711716,nan,-0.05437627217214304,-0.07338444687842277,0.19849009122365516,nan
84,162250,1,4,8,22,0.7857142857142857,0.8,0.23979914587013842,True,-0.1458333333333334,-0.03811252268602553,-0.15789473684210523,nan,nan,-0.18319327731092444,-0.09316770186335396,nan
85,463716,1,5,19,50,0.29239766081871343,0.6404494382022472,0.1272183511210664,False,-0.033484911120297625,-0.05263157894736848,-0.07270560190703208,nan,-0.04166666666666643,-0.06417284746855853,-0.016841436288528754,-0.05263157894736848
